date,crypto crash
"Feb 16, 2023",0
"Feb 17, 2023",2
"Feb 18, 2023",3
"Feb 19, 2023",5
"Feb 20, 2023",2
"Feb 21, 2023",2
"Feb 22, 2023",4
"Feb 23, 2023",3
"Feb 24, 2023",3
"Feb 25, 2023",4
"Feb 26, 2023",2
"Feb 27, 2023",2
"Feb 28, 2023",3
"Mar 1, 2023",0
"Mar 2, 2023",2
"Mar 3, 2023",11
"Mar 4, 2023",3
"Mar 5, 2023",0
"Mar 6, 2023",3
"Mar 7, 2023",3
"Mar 8, 2023",3
"Mar 9, 2023",9
"Mar 10, 2023",15
"Mar 11, 2023",9
"Mar 12, 2023",6
"Mar 13, 2023",9
"Mar 14, 2023",6
"Mar 15, 2023",6
"Mar 16, 2023",4
"Mar 17, 2023",4
"Mar 18, 2023",4
"Mar 19, 2023",3
"Mar 20, 2023",4
"Mar 21, 2023",3
"Mar 22, 2023",3
"Mar 23, 2023",2
"Mar 24, 2023",2
"Mar 25, 2023",3
"Mar 26, 2023",3
"Mar 27, 2023",3
"Mar 28, 2023",2
"Mar 29, 2023",2
"Mar 30, 2023",0
"Mar 31, 2023",2
"Apr 1, 2023",0
"Apr 2, 2023",2
"Apr 3, 2023",2
"Apr 4, 2023",2
"Apr 5, 2023",2
"Apr 6, 2023",2
"Apr 7, 2023",0
"Apr 8, 2023",3
"Apr 9, 2023",2
"Apr 10, 2023",3
"Apr 11, 2023",3
"Apr 12, 2023",3
"Apr 13, 2023",3
"Apr 14, 2023",3
"Apr 15, 2023",2
"Apr 16, 2023",3
"Apr 17, 2023",4
"Apr 18, 2023",3
"Apr 19, 2023",7
"Apr 20, 2023",4
"Apr 21, 2023",5
"Apr 22, 2023",2
"Apr 23, 2023",2
"Apr 24, 2023",2
"Apr 25, 2023",0
"Apr 26, 2023",5
"Apr 27, 2023",3
"Apr 28, 2023",2
"Apr 29, 2023",2
"Apr 30, 2023",2
"May 1, 2023",2
"May 2, 2023",2
"May 3, 2023",3
"May 4, 2023",2
"May 5, 2023",0
"May 6, 2023",0
"May 7, 2023",3
"May 8, 2023",5
"May 9, 2023",3
"May 10, 2023",4
"May 11, 2023",10
"May 12, 2023",8
"May 13, 2023",7
"May 14, 2023",0
"May 15, 2023",6
"May 16, 2023",8
"May 17, 2023",9
"May 18, 2023",5
"May 19, 2023",9
"May 20, 2023",6
"May 21, 2023",7
"May 22, 2023",0
