date,bullish
"Apr 11, 2022",38
"Apr 12, 2022",40
"Apr 13, 2022",40
"Apr 14, 2022",38
"Apr 15, 2022",26
"Apr 16, 2022",27
"Apr 17, 2022",25
"Apr 18, 2022",35
"Apr 19, 2022",34
"Apr 20, 2022",44
"Apr 21, 2022",41
"Apr 22, 2022",34
"Apr 23, 2022",26
"Apr 24, 2022",25
"Apr 25, 2022",35
"Apr 26, 2022",39
"Apr 27, 2022",39
"Apr 28, 2022",38
"Apr 29, 2022",36
"Apr 30, 2022",30
"May 1, 2022",27
"May 2, 2022",34
"May 3, 2022",28
"May 4, 2022",31
"May 5, 2022",39
"May 6, 2022",31
"May 7, 2022",22
"May 8, 2022",24
"May 9, 2022",31
"May 10, 2022",42
"May 11, 2022",41
"May 12, 2022",43
"May 13, 2022",40
"May 14, 2022",32
"May 15, 2022",29
"May 16, 2022",36
"May 17, 2022",40
"May 18, 2022",36
"May 19, 2022",38
"May 20, 2022",33
"May 21, 2022",25
"May 22, 2022",23
"May 23, 2022",37
"May 24, 2022",32
"May 25, 2022",36
"May 26, 2022",39
"May 27, 2022",28
"May 28, 2022",19
"May 29, 2022",23
"May 30, 2022",30
"May 31, 2022",35
"Jun 1, 2022",31
"Jun 2, 2022",34
"Jun 3, 2022",34
"Jun 4, 2022",23
"Jun 5, 2022",23
"Jun 6, 2022",35
"Jun 7, 2022",35
"Jun 8, 2022",36
"Jun 9, 2022",36
"Jun 10, 2022",33
"Jun 11, 2022",26
"Jun 12, 2022",21
"Jun 13, 2022",35
"Jun 14, 2022",37
"Jun 15, 2022",39
"Jun 16, 2022",34
"Jun 17, 2022",33
"Jun 18, 2022",21
"Jun 19, 2022",25
"Jun 20, 2022",29
"Jun 21, 2022",39
"Jun 22, 2022",32
"Jun 23, 2022",34
"Jun 24, 2022",33
"Jun 25, 2022",23
"Jun 26, 2022",24
"Jun 27, 2022",35
"Jun 28, 2022",38
"Jun 29, 2022",31
"Jun 30, 2022",33
"Jul 1, 2022",32
"Jul 2, 2022",20
"Jul 3, 2022",19
"Jul 4, 2022",23
"Jul 5, 2022",31
"Jul 6, 2022",35
"Jul 7, 2022",34
"Jul 8, 2022",33
"Jul 9, 2022",24
"Jul 10, 2022",20
"Jul 11, 2022",31
"Jul 12, 2022",34
"Jul 13, 2022",35
"Jul 14, 2022",32
"Jul 15, 2022",33
"Jul 16, 2022",22
"Jul 17, 2022",21
