date,bearish
"Oct 4, 2022",74
"Oct 5, 2022",77
"Oct 6, 2022",81
"Oct 7, 2022",77
"Oct 8, 2022",49
"Oct 9, 2022",50
"Oct 10, 2022",80
"Oct 11, 2022",90
"Oct 12, 2022",64
"Oct 13, 2022",80
"Oct 14, 2022",77
"Oct 15, 2022",54
"Oct 16, 2022",45
"Oct 17, 2022",79
"Oct 18, 2022",84
"Oct 19, 2022",72
"Oct 20, 2022",78
"Oct 21, 2022",69
"Oct 22, 2022",40
"Oct 23, 2022",42
"Oct 24, 2022",59
"Oct 25, 2022",69
"Oct 26, 2022",66
"Oct 27, 2022",78
"Oct 28, 2022",70
"Oct 29, 2022",36
"Oct 30, 2022",57
"Oct 31, 2022",75
"Nov 1, 2022",72
"Nov 2, 2022",91
"Nov 3, 2022",83
"Nov 4, 2022",78
"Nov 5, 2022",46
"Nov 6, 2022",44
"Nov 7, 2022",78
"Nov 8, 2022",74
"Nov 9, 2022",87
"Nov 10, 2022",92
"Nov 11, 2022",78
"Nov 12, 2022",57
"Nov 13, 2022",48
"Nov 14, 2022",73
"Nov 15, 2022",91
"Nov 16, 2022",87
"Nov 17, 2022",87
"Nov 18, 2022",87
"Nov 19, 2022",55
"Nov 20, 2022",48
"Nov 21, 2022",76
"Nov 22, 2022",68
"Nov 23, 2022",77
"Nov 24, 2022",56
"Nov 25, 2022",57
"Nov 26, 2022",43
"Nov 27, 2022",37
"Nov 28, 2022",71
"Nov 29, 2022",80
"Nov 30, 2022",69
"Dec 1, 2022",74
"Dec 2, 2022",65
"Dec 3, 2022",39
"Dec 4, 2022",49
"Dec 5, 2022",61
"Dec 6, 2022",78
"Dec 7, 2022",85
"Dec 8, 2022",82
"Dec 9, 2022",66
"Dec 10, 2022",47
"Dec 11, 2022",53
"Dec 12, 2022",78
"Dec 13, 2022",63
"Dec 14, 2022",72
"Dec 15, 2022",72
"Dec 16, 2022",75
"Dec 17, 2022",48
"Dec 18, 2022",35
"Dec 19, 2022",71
"Dec 20, 2022",92
"Dec 21, 2022",93
"Dec 22, 2022",67
"Dec 23, 2022",78
"Dec 24, 2022",52
"Dec 25, 2022",48
"Dec 26, 2022",51
"Dec 27, 2022",77
"Dec 28, 2022",79
"Dec 29, 2022",72
"Dec 30, 2022",75
"Dec 31, 2022",48
"Jan 1, 2023",52
"Jan 2, 2023",65
"Jan 3, 2023",74
"Jan 4, 2023",88
"Jan 5, 2023",87
"Jan 6, 2023",84
"Jan 7, 2023",53
"Jan 8, 2023",47
"Jan 9, 2023",75
"Jan 10, 2023",84
"Jan 11, 2023",90
"Jan 12, 2023",87
"Jan 13, 2023",75
"Jan 14, 2023",48
"Jan 15, 2023",54
"Jan 16, 2023",76
"Jan 17, 2023",83
"Jan 18, 2023",88
"Jan 19, 2023",84
"Jan 20, 2023",76
"Jan 21, 2023",59
"Jan 22, 2023",56
"Jan 23, 2023",77
"Jan 24, 2023",87
"Jan 25, 2023",84
"Jan 26, 2023",73
"Jan 27, 2023",77
"Jan 28, 2023",49
"Jan 29, 2023",52
"Jan 30, 2023",83
"Jan 31, 2023",90
"Feb 1, 2023",81
"Feb 2, 2023",95
"Feb 3, 2023",94
"Feb 4, 2023",57
"Feb 5, 2023",64
"Feb 6, 2023",89
"Feb 7, 2023",91
"Feb 8, 2023",89
"Feb 9, 2023",90
"Feb 10, 2023",88
"Feb 11, 2023",60
"Feb 12, 2023",56
"Feb 13, 2023",84
"Feb 14, 2023",70
"Feb 15, 2023",72
"Feb 16, 2023",67
"Feb 17, 2023",72
"Feb 18, 2023",48
"Feb 19, 2023",58
"Feb 20, 2023",79
"Feb 21, 2023",82
"Feb 22, 2023",79
"Feb 23, 2023",70
"Feb 24, 2023",76
"Feb 25, 2023",53
"Feb 26, 2023",63
"Feb 27, 2023",73
"Feb 28, 2023",85
"Mar 1, 2023",83
"Mar 2, 2023",73
"Mar 3, 2023",84
"Mar 4, 2023",45
"Mar 5, 2023",62
"Mar 6, 2023",75
"Mar 7, 2023",68
"Mar 8, 2023",77
"Mar 9, 2023",85
"Mar 10, 2023",87
"Mar 11, 2023",52
"Mar 12, 2023",46
"Mar 13, 2023",79
"Mar 14, 2023",86
"Mar 15, 2023",89
"Mar 16, 2023",92
"Mar 17, 2023",81
"Mar 18, 2023",56
"Mar 19, 2023",52
"Mar 20, 2023",83
"Mar 21, 2023",81
"Mar 22, 2023",77
"Mar 23, 2023",86
"Mar 24, 2023",76
"Mar 25, 2023",47
"Mar 26, 2023",49
"Mar 27, 2023",70
"Mar 28, 2023",83
"Mar 29, 2023",84
"Mar 30, 2023",78
"Mar 31, 2023",74
"Apr 1, 2023",51
"Apr 2, 2023",48
"Apr 3, 2023",77
"Apr 4, 2023",69
